Leaf_Num,Leaf_Area,Undisturbed,Percent_Undisturbed,Percent_Herbivory,,,,,,,,,,,,,,,,
1,33,27,0.818181818,18.18181818,,,,,,,,,,,,,,,,
2,26,20,0.769230769,23.07692308,,,,,,,,,,,,,,,,
3,27,21,0.777777778,22.22222222,,,,,,,,,,,,,,,,
4,31,26,0.838709677,16.12903226,,,,,,,,,,,,,,,,
5,29,25,0.862068966,13.79310345,,,,,,,,,,,,,,,,
6,32,29,0.90625,9.375,,,,,,,,,,,,,,,,
7,28,27,0.964285714,3.571428571,,,,,,,,,,,,,,,,
8,25,24,0.96,4,,,,,,,,,,,,,,,,
9,34,31,0.911764706,8.823529412,,,,,,,,,,,,,,,,
10,30,27,0.9,10,,,,,,,,,,,,,,,,
11,30,23,0.766666667,23.33333333,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
13,37,31,0.837837838,16.21621622,,,,,,,,,,,,,,,,
14,,,,,,,,Leaf Area,Undisturbed,% Undisturbed,% Herbivory,,DBH,,,,,,,
15,36,32,0.888888889,11.11111111,,,,,,,,,,,,,,,,
16,,,,,,,,34,30,0.882352941,11.76470588,,Tree Health (1-3),,,,,,,
17,34,33,0.970588235,2.941176471,,,,,,,,,,,,,,,,
18,,,,,,,,33,30,0.909090909,9.090909091,,# of Galls,,,,,,,
19,35,28,0.8,20,,,,,,,,,,,,,,,,
20,,,,,,,,39,34,0.871794872,12.82051282,,,,,,,,,
21,37,29,0.783783784,21.62162162,,,,,,,,,,,,,,,,
22,,,,,,,,39,38,0.974358974,2.564102564,,,,,,,,,
23,30,24,0.8,20,,,,,,,,,,,,,,,,
24,,,,,,,,40,39,0.975,2.5,,,,,,,,,
25,30,26,0.866666667,13.33333333,,,,,,,,,,,,,,,,
,,,,,,,,36,32,0.888888889,11.11111111,,,,,,,,,
,36,32,0.888888889,11.11111111,,,,,,,,,,,,,,,,
,,,,,,,,38,34,0.894736842,10.52631579,,,,,,,,,
,30,22,0.733333333,26.66666667,,,,,,,,,,,,,,,,
,,,,,,,,35,31,0.885714286,11.42857143,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,26,0.8125,18.75,,,,,,35.7,11.31368738,,
,,,,,,,,,,,,,,,,,29.5,12.91730572,,
,,,,,,,,31,24,0.774193548,22.58064516,,,,,,33.5,16.63345699,,
,,,,,,,,,,,,,,,,,34.8,9.033269874,,
,,,,,,,,35.7,31.8,0.886863126,11.31368738,Average,,,,,36.2,27.91340281,,
,,,,,,,,,,,,,,,,,32.7,4.370105196,,
,,,,,,,,,,,,,,,,,35.4,31.25939707,,
